start,end,observed/expected value,%GC
98,297,2.36,10.44
99,298,2.32,10.54
100,299,2.28,10.65
101,300,2.28,10.65
102,301,2.28,10.65
103,302,2.33,10.54
104,303,2.28,10.65
105,304,2.23,10.76
106,305,2.22,10.76
107,306,2.22,10.76
108,307,2.18,10.86
109,308,2.18,10.86
110,309,2.23,10.76
111,310,2.19,10.86
112,311,2.24,10.76
113,312,2.24,10.76
114,313,2.29,10.65
115,314,2.29,10.65
116,315,2.3,10.65
117,316,2.31,10.65
118,317,2.26,10.76
119,318,2.26,10.76
120,319,2.31,10.65
121,320,2.27,10.76
122,321,2.22,10.86
123,322,2.22,10.86
124,323,2.22,10.86
125,324,2.22,10.86
126,325,2.22,10.86
127,326,2.22,10.86
128,327,2.26,10.76
129,328,2.3,10.65
130,329,2.3,10.65
131,330,2.3,10.65
132,331,2.3,10.65
133,332,2.3,10.65
134,333,2.3,10.65
135,334,2.34,10.54
136,335,2.4,10.44
137,336,2.4,10.44
138,337,1.99,10.44
139,338,2.02,10.33
140,339,2.02,10.33
141,340,1.99,10.44
142,341,1.94,10.54
143,342,1.98,10.44
144,343,2.01,10.33
145,344,2.01,10.33
146,345,2.01,10.33
147,346,2.01,10.33
148,347,2.05,10.22
149,348,2.09,10.12
150,349,2.05,10.22
151,350,2.01,10.33
152,351,2.41,10.33
153,352,2.46,10.22
154,353,2.41,10.33
155,354,2.45,10.22
156,355,2.45,10.22
157,356,2.45,10.22
158,357,2.45,10.22
159,358,2.5,10.12
160,359,2.45,10.22
161,360,2.5,10.12
162,361,2.56,10.01
163,362,2.61,9.9
164,363,2.56,10.01
165,364,2.56,10.01
166,365,2.56,10.01
167,366,2.61,9.9
168,367,2.56,10.01
169,368,2.56,10.01
170,369,2.51,10.12
171,370,2.51,10.12
172,371,2.57,10.01
173,372,2.52,10.12
174,373,2.57,10.01
175,374,2.62,9.9
176,375,2.56,10.01
177,376,2.62,9.9
178,377,2.68,9.8
179,378,2.68,9.8
180,379,2.62,9.9
181,380,3.07,9.9
182,381,3.01,10.01
183,382,2.95,10.12
184,383,3.01,10.01
185,384,3.08,9.9
186,385,3.1,9.9
187,386,3.02,10.01
188,387,3.08,9.9
189,388,3.01,10.01
190,389,3.01,10.01
191,390,2.94,10.12
192,391,3.01,10.01
193,392,3.01,10.01
194,393,3.01,10.01
195,394,3.01,10.01
196,395,3.01,10.01
197,396,3.02,10.01
198,397,3.02,10.01
199,398,3.08,9.9
200,399,3.16,9.8
201,400,3.16,9.8
202,401,3.22,9.69
203,402,3.3,9.58
204,403,3.24,9.69
205,404,3.33,9.58
206,405,3.33,9.58
207,406,3.3,9.58
208,407,3.39,9.48
209,408,3.33,9.58
210,409,3.33,9.58
211,410,3.33,9.58
212,411,3.33,9.58
213,412,3.24,9.69
214,413,3.3,9.58
215,414,3.37,9.48
216,415,3.37,9.48
217,416,3.37,9.48
218,417,3.37,9.48
219,418,3.29,9.58
220,419,3.35,9.48
221,420,3.35,9.48
222,421,3.34,9.48
223,422,3.74,9.58
224,423,3.74,9.58
225,424,3.65,9.69
226,425,3.65,9.69
227,426,3.65,9.69
228,427,4.02,9.8
229,428,4.02,9.8
230,429,4.02,9.8
231,430,4.12,9.69
232,431,4.23,9.58
233,432,4.33,9.48
234,433,3.93,9.37
235,434,3.91,9.37
236,435,4,9.27
237,436,4,9.27
238,437,4,9.27
239,438,3.91,9.37
240,439,4,9.27
241,440,3.9,9.37
242,441,4.39,9.37
243,442,4.5,9.27
244,443,4.5,9.27
245,444,4.4,9.37
246,445,4.39,9.37
247,446,4.39,9.37
248,447,4.39,9.37
249,448,4.39,9.37
250,449,4.29,9.48
251,450,4.28,9.48
252,451,4.28,9.48
253,452,4.19,9.58
254,453,4.21,9.58
255,454,3.82,9.48
256,455,3.73,9.58
257,456,3.82,9.48
258,457,3.74,9.58
259,458,3.82,9.48
260,459,3.9,9.37
261,460,4,9.27
262,461,4.1,9.16
263,462,4.1,9.16
264,463,4.21,9.05
265,464,4.21,9.05
266,465,4.1,9.16
267,466,4.19,9.05
268,467,4.17,9.05
269,468,4.16,9.05
270,469,4.7,9.05
271,470,4.7,9.05
272,471,4.7,9.05
273,472,4.7,9.05
274,473,4.59,9.16
275,474,4.5,9.27
276,475,4.5,9.27
277,476,4.08,9.16
278,477,4.08,9.16
279,478,4.08,9.16
280,479,4.08,9.16
281,480,4.08,9.16
282,481,4.17,9.05
283,482,4.07,9.16
284,483,4.17,9.05
285,484,3.73,8.95
286,485,3.64,9.05
287,486,3.56,9.16
288,487,4.06,9.16
289,488,3.97,9.27
290,489,3.97,9.27
291,490,3.97,9.27
292,491,3.88,9.37
293,492,3.97,9.27
294,493,3.89,9.37
295,494,3.9,9.37
296,495,3.9,9.37
297,496,3.98,9.27
298,497,4.07,9.16
299,498,4.16,9.05
300,499,4.06,9.16
301,500,4.06,9.16
302,501,4.06,9.16
303,502,4.16,9.05
304,503,4.17,9.05
305,504,4.17,9.05
306,505,4.59,9.16
307,506,4.7,9.05
308,507,4.8,8.95
309,508,4.68,9.05
310,509,4.68,9.05
311,510,4.68,9.05
312,511,4.68,9.05
313,512,4.68,9.05
314,513,4.68,9.05
315,514,4.68,9.05
316,515,4.79,8.95
317,516,4.79,8.95
318,517,4.68,9.05
319,518,4.68,9.05
320,519,4.68,9.05
321,520,4.68,9.05
322,521,4.68,9.05
323,522,4.68,9.05
324,523,4.57,9.16
325,524,4.57,9.16
326,525,4.57,9.16
327,526,4.57,9.16
328,527,4.47,9.27
329,528,4.57,9.16
330,529,4.57,9.16
331,530,4.57,9.16
332,531,4.47,9.27
333,532,4.47,9.27
334,533,4.47,9.27
335,534,4.47,9.27
336,535,4.47,9.27
337,536,4.47,9.27
338,537,4.85,9.37
339,538,4.85,9.37
340,539,4.85,9.37
341,540,4.96,9.27
342,541,4.96,9.27
343,542,4.85,9.37
344,543,4.85,9.37
345,544,4.97,9.27
346,545,4.47,9.27
347,546,4.47,9.27
348,547,4.47,9.27
349,548,4.57,9.16
350,549,4.58,9.16
351,550,4.16,9.05
352,551,4.16,9.05
353,552,4.16,9.05
354,553,4.16,9.05
355,554,4.27,8.95
356,555,4.17,9.05
357,556,4.27,8.95
358,557,4.27,8.95
359,558,4.28,8.95
360,559,4.17,9.05
361,560,4.59,9.16
362,561,4.5,9.27
363,562,4.61,9.16
364,563,4.51,9.27
365,564,4.4,9.37
366,565,4.79,9.48
367,566,4.89,9.37
368,567,4.99,9.27
369,568,5.1,9.16
370,569,4.98,9.27
371,570,5.36,9.37
372,571,5.36,9.37
373,572,5.23,9.48
374,573,5.11,9.58
375,574,5.59,9.58
376,575,5.48,9.69
377,576,5.35,9.8
378,577,5.35,9.8
379,578,5.48,9.69
380,579,5,9.69
381,580,5.11,9.58
382,581,5.1,9.58
383,582,5.1,9.58
384,583,5.1,9.58
385,584,5.1,9.58
386,585,5.11,9.58
387,586,5.11,9.58
388,587,5.11,9.58
389,588,5.23,9.48
390,589,5.23,9.48
391,590,5.11,9.58
392,591,5.11,9.58
393,592,5,9.69
394,593,5.12,9.58
395,594,5,9.69
396,595,5.46,9.69
397,596,5.34,9.8
398,597,5.22,9.9
399,598,5.1,10.01
400,599,5.1,10.01
401,600,5.1,10.01
402,601,5.1,10.01
403,602,5.1,10.01
404,603,5.1,10.01
405,604,4.99,10.12
406,605,5.1,10.01
407,606,5.1,10.01
408,607,5.21,9.9
409,608,5.21,9.9
410,609,5.21,9.9
411,610,5.21,9.9
412,611,5.33,9.8
413,612,5.21,9.9
414,613,5.21,9.9
415,614,5.1,10.01
416,615,5.41,10.12
417,616,5.41,10.12
418,617,5.53,10.01
419,618,5.41,10.12
420,619,5.41,10.12
421,620,5.53,10.01
422,621,5.21,9.9
423,622,5.21,9.9
424,623,5.33,9.8
425,624,5.21,9.9
426,625,5.33,9.8
427,626,4.99,9.69
428,627,4.99,9.69
429,628,4.99,9.69
430,629,4.88,9.8
431,630,4.88,9.8
432,631,4.88,9.8
433,632,4.78,9.9
434,633,5.21,9.9
435,634,5.21,9.9
436,635,5.21,9.9
437,636,5.1,10.01
438,637,5.21,9.9
439,638,5.1,10.01
440,639,5.1,10.01
441,640,5.1,10.01
442,641,5,10.12
443,642,5,10.12
444,643,5.11,10.01
445,644,5.1,10.01
446,645,5.1,10.01
447,646,5.1,10.01
448,647,5.1,10.01
449,648,5.22,9.9
450,649,5.33,9.8
451,650,5.22,9.9
452,651,5.65,9.9
453,652,5.78,9.8
454,653,5.78,9.8
455,654,5.78,9.8
456,655,6.09,9.9
457,656,6.09,9.9
458,657,6.09,9.9
459,658,6.09,9.9
460,659,6.09,9.9
461,660,6.09,9.9
462,661,5.96,10.01
463,662,5.96,10.01
464,663,5.84,10.12
465,664,5.96,10.01
466,665,5.96,10.01
467,666,6.09,9.9
468,667,6.09,9.9
469,668,5.78,9.8
470,669,5.65,9.9
471,670,5.65,9.9
472,671,5.65,9.9
473,672,5.78,9.8
474,673,5.91,9.69
475,674,6.04,9.58
476,675,6.04,9.58
477,676,6.04,9.58
478,677,6.04,9.58
479,678,5.9,9.69
480,679,5.91,9.69
481,680,5.79,9.8
482,681,6.22,9.8
483,682,6.1,9.9
484,683,5.98,10.01
485,684,6.1,9.9
486,685,6.22,9.8
487,686,5.91,9.69
488,687,5.91,9.69
489,688,5.91,9.69
490,689,5.79,9.8
491,690,5.91,9.69
492,691,5.91,9.69
493,692,5.93,9.69
494,693,6.08,9.58
495,694,5.95,9.69
496,695,5.84,9.8
497,696,6.14,9.9
498,697,5.99,10.01
499,698,6.11,9.9
500,699,5.98,10.01
501,700,5.98,10.01
502,701,5.86,10.12
503,702,5.88,10.12
504,703,6.28,10.12
505,704,5.99,10.01
506,705,5.86,10.12
507,706,5.86,10.12
508,707,5.98,10.01
509,708,5.98,10.01
510,709,5.98,10.01
511,710,5.84,10.12
512,711,5.84,10.12
513,712,5.84,10.12
514,713,5.83,10.12
515,714,5.71,10.22
516,715,5.72,10.22
517,716,5.73,10.22
518,717,5.73,10.22
519,718,5.72,10.22
520,719,5.72,10.22
521,720,5.72,10.22
522,721,5.72,10.22
523,722,5.73,10.22
524,723,5.62,10.33
525,724,5.89,10.44
526,725,5.78,10.54
527,726,5.78,10.54
528,727,6.03,10.65
529,728,6.03,10.65
530,729,5.92,10.76
531,730,6.27,10.76
532,731,6.16,10.86
533,732,6.16,10.86
534,733,6.16,10.86
535,734,6.27,10.76
536,735,6.26,10.76
537,736,5.9,10.76
538,737,6.02,10.65
539,738,6.15,10.54
540,739,6.03,10.65
541,740,6.03,10.65
542,741,6.05,10.65
543,742,6.29,10.76
544,743,6.29,10.76
545,744,6.31,10.76
546,745,6.31,10.76
547,746,6.2,10.86
548,747,6.2,10.86
549,748,6.33,10.76
550,749,6.33,10.76
551,750,6.22,10.86
552,751,6.33,10.76
553,752,6.33,10.76
554,753,6.33,10.76
555,754,6.36,10.76
556,755,6.59,10.86
557,756,6.59,10.86
558,757,6.74,10.76
559,758,6.86,10.65
560,759,6.63,10.54
561,760,6.63,10.54
562,761,6.51,10.65
563,762,6.67,10.54
564,763,6.63,10.54
565,764,6.28,10.54
566,765,6.17,10.65
567,766,6.06,10.76
568,767,5.96,10.86
569,768,6.06,10.76
570,769,5.68,10.76
571,770,5.68,10.76
572,771,5.78,10.65
573,772,5.78,10.65
574,773,5.43,10.65
575,774,5.48,10.65
576,775,5.48,10.65
577,776,5.39,10.76
578,777,5.39,10.76
579,778,5.34,10.76
580,779,5.34,10.76
581,780,5.34,10.76
582,781,5.26,10.86
583,782,5.5,10.97
584,783,5.63,10.86
585,784,5.63,10.86
586,785,5.63,10.86
587,786,5.73,10.76
588,787,5.63,10.86
589,788,5.73,10.76
590,789,5.82,10.65
591,790,5.82,10.65
592,791,5.97,10.54
593,792,5.97,10.54
594,793,5.97,10.54
595,794,5.71,10.44
596,795,5.81,10.33
597,796,5.91,10.22
598,797,6.02,10.12
599,798,6.02,10.12
600,799,6.02,10.12
601,800,6.02,10.12
602,801,6.07,10.12
603,802,5.96,10.22
604,803,6.34,10.22
605,804,6.34,10.22
606,805,6.18,10.33
607,806,6.03,10.44
608,807,5.92,10.54
609,808,6.03,10.44
610,809,6.03,10.44
611,810,5.92,10.54
612,811,5.92,10.54
613,812,5.82,10.65
614,813,5.92,10.54
615,814,5.67,10.44
616,815,5.67,10.44
617,816,5.67,10.44
618,817,5.67,10.44
619,818,5.63,10.44
620,819,5.49,10.54
621,820,5.49,10.54
622,821,5.4,10.65
623,822,5.31,10.76
624,823,5.4,10.65
625,824,5.4,10.65
626,825,5.27,10.76
627,826,5.18,10.86
628,827,5.1,10.97
629,828,5.43,10.97
630,829,5.34,11.08
631,830,5.34,11.08
632,831,5.43,10.97
633,832,5.1,10.97
634,833,5.1,10.97
635,834,4.98,11.08
636,835,5.01,11.08
637,836,4.93,11.18
638,837,5.25,11.18
639,838,5.25,11.18
640,839,4.93,11.18
641,840,5.01,11.08
642,841,4.93,11.18
643,842,4.93,11.18
644,843,5.05,11.08
645,844,5.05,11.08
646,845,4.93,11.18
647,846,4.93,11.18
648,847,4.93,11.18
649,848,4.82,11.29
650,849,4.9,11.18
651,850,4.65,11.08
652,851,4.65,11.08
653,852,4.65,11.08
654,853,4.62,11.08
655,854,4.37,10.97
656,855,4.47,10.86
657,856,4.47,10.86
658,857,4.47,10.86
659,858,4.47,10.86
660,859,4.47,10.86
661,860,4.55,10.76
662,861,4.44,10.86
663,862,4.52,10.76
664,863,4.42,10.86
665,864,4.34,10.97
666,865,4.27,11.08
667,866,4.34,10.97
668,867,4.27,11.08
669,868,4.37,10.97
670,869,4.37,10.97
671,870,4.47,10.86
672,871,4.47,10.86
673,872,4.47,10.86
674,873,4.4,10.97
675,874,4.65,11.08
676,875,4.58,11.18
677,876,4.58,11.18
678,877,4.69,11.08
679,878,4.69,11.08
680,879,5.01,11.08
681,880,4.76,10.97
682,881,4.76,10.97
683,882,4.84,10.86
684,883,4.84,10.86
685,884,4.76,10.97
686,885,4.69,11.08
687,886,4.8,10.97
688,887,4.8,10.97
689,888,4.88,10.86
690,889,4.88,10.86
691,890,4.88,10.86
692,891,4.88,10.86
693,892,4.88,10.86
694,893,4.96,10.76
695,894,5.05,10.65
696,895,4.66,10.65
697,896,4.7,10.65
698,897,4.96,10.76
699,898,5.09,10.65
700,899,5,10.76
701,900,5.09,10.65
702,901,5.17,10.54
703,902,4.77,10.54
704,903,4.66,10.65
705,904,4.77,10.54
706,905,4.77,10.54
707,906,4.66,10.65
708,907,4.66,10.65
709,908,4.93,10.76
710,909,4.96,10.76
711,910,5.22,10.86
712,911,5.13,10.97
713,912,5.5,10.97
714,913,5.63,10.86
715,914,5.59,10.86
716,915,5.55,10.86
717,916,5.55,10.86
718,917,5.68,10.76
719,918,5.68,10.76
720,919,5.59,10.86
721,920,5.59,10.86
722,921,5.59,10.86
723,922,5.68,10.76
724,923,5.34,10.76
725,924,5.34,10.76
726,925,5.43,10.65
727,926,5.17,10.54
728,927,5.17,10.54
729,928,5.26,10.44
730,929,4.98,10.33
731,930,5.07,10.22
732,931,5.07,10.22
733,932,5.07,10.22
734,933,4.94,10.33
735,934,4.94,10.33
736,935,4.94,10.33
737,936,4.86,10.44
738,937,5.13,10.54
739,938,5.22,10.44
740,939,5.22,10.44
